	UBD+ Epithelial cells	GAS2L3+ Epithelial cells	GSTA1+ Epithelial cells	KRT6C+ Epithelial cells
chr1p	100.0	97.07602339181288	98.39228295819937	77.08333333333333
chr1q	99.35275080906149	97.07602339181288	41.15755627009647	100.0
chr2p	99.35275080906149	92.98245614035088	80.38585209003216	47.569444444444436
chr2q	14.563106796116505	0.0	32.79742765273312	27.430555555555557
chr3p	0	0	0	0
chr3q	0.0	2.9239766081871346	71.06109324758843	17.01388888888889
chr4p	0.0	7.0175438596491215	0.0	5.5555555555555545
chr4q	0.0	0.0	71.06109324758843	17.01388888888889
chr5p	100.0	97.07602339181288	18.006430868167204	50.0
chr5q	0.0	2.9239766081871346	57.234726688102896	30.902777777777782
chr6p	99.35275080906149	97.07602339181288	18.006430868167204	44.444444444444436
chr6q	0.0	0.0	9.32475884244373	0.0
chr7p	0.0	2.9239766081871346	0.0	0.0
chr7q	99.35275080906149	97.07602339181288	98.71382636655949	77.08333333333333
chr8p	0	0	0	0
chr8q	99.35275080906149	100.0	90.03215434083602	89.93055555555556
chr9p	0	0	0	0
chr9q	100.0	97.07602339181288	31.832797427652732	67.70833333333333
chr10p	0	0	0	0
chr10q	99.35275080906149	97.07602339181288	0.0	21.875
chr11p	0.0	0.0	9.32475884244373	0.0
chr11q	99.35275080906149	87.13450292397661	91.31832797427653	89.93055555555556
chr12p	42.71844660194175	80.11695906432749	66.88102893890675	53.819444444444436
chr12q	99.35275080906149	84.21052631578948	84.56591639871381	100.0
chr13p	0	0	0	0
chr13q	0.0	0.0	0.0	5.5555555555555545
chr14p	0	0	0	0
chr14q	0.0	49.122807017543856	66.55948553054662	17.01388888888889
chr15p	0	0	0	0
chr15q	26.537216828478964	90.05847953216373	13.826366559485528	21.875
chr16p	99.67637540453077	87.13450292397661	80.7073954983923	53.125
chr16q	57.928802588996774	0.0	24.437299035369772	9.375
chr17p	0.0	0.0	23.151125401929264	9.375
chr17q	100.0	97.07602339181288	98.39228295819937	100.0
chr18p	0.0	7.0175438596491215	0.0	5.5555555555555545
chr18q	99.35275080906149	92.98245614035088	98.39228295819937	94.44444444444444
chr19p	42.71844660194175	50.877192982456144	0.0	5.5555555555555545
chr19q	21.035598705501613	2.9239766081871346	57.234726688102896	27.08333333333333
chr20p	0	0	0	0
chr20q	79.61165048543691	84.21052631578948	91.31832797427653	35.06944444444444
chr21p	0	0	0	0
chr21q	99.67637540453077	97.07602339181288	18.006430868167204	60.069444444444436
chr22p	0	0	0	0
chr22q	42.71844660194175	43.85964912280703	23.47266881028939	0.0
