	UBD+ Epithelial cells	GAS2L3+ Epithelial cells	GSTA1+ Epithelial cells	KRT6C+ Epithelial cells
chr1p	0.0	0.0	23.151125401929264	0.0
chr1q	99.35275080906149	97.07602339181288	89.06752411575563	67.0138888888889
chr2p	0	0	0	0
chr2q	99.35275080906149	97.07602339181288	84.56591639871381	100.0
chr3p	0.0	12.865497076023393	22.18649517684888	39.930555555555564
chr3q	99.35275080906149	84.21052631578948	18.971061093247584	60.069444444444436
chr4p	0.0	0.0	80.38585209003216	17.01388888888889
chr4q	62.459546925566336	50.877192982456144	18.971061093247584	36.111111111111114
chr5p	0	0	0	0
chr5q	99.35275080906149	100.0	98.39228295819937	77.08333333333333
chr6p	71.19741100323624	100.0	99.67845659163989	100.0
chr6q	79.61165048543691	50.877192982456144	80.7073954983923	44.444444444444436
chr7p	0	0	0	0
chr7q	92.88025889967638	92.98245614035088	0.0	47.569444444444436
chr8p	99.35275080906149	100.0	80.7073954983923	67.0138888888889
chr8q	99.35275080906149	97.07602339181288	18.006430868167204	50.0
chr9p	0	0	0	0
chr9q	0.0	0.0	23.151125401929264	17.01388888888889
chr10p	56.957928802588995	53.216374269005854	18.006430868167204	51.38888888888889
chr10q	42.71844660194175	43.85964912280703	80.38585209003216	48.611111111111114
chr11p	99.35275080906149	97.07602339181288	10.610932475884244	28.125
chr11q	100.0	97.07602339181288	32.79742765273312	44.444444444444436
chr12p	0.0	0.0	0.0	5.5555555555555545
chr12q	62.459546925566336	84.21052631578948	13.826366559485528	0.0
chr13p	0	0	0	0
chr13q	99.35275080906149	97.07602339181288	99.67845659163989	77.08333333333333
chr14p	0	0	0	0
chr14q	99.67637540453077	100.0	99.67845659163989	100.0
chr15p	0	0	0	0
chr15q	92.88025889967638	92.98245614035088	90.03215434083602	47.569444444444436
chr16p	19.7411003236246	12.865497076023393	0.0	30.902777777777782
chr16q	0.0	12.865497076023393	13.826366559485528	0.0
chr17p	0	0	0	0
chr17q	99.35275080906149	97.07602339181288	18.006430868167204	67.0138888888889
chr18p	0	0	0	0
chr18q	99.35275080906149	100.0	98.39228295819937	77.08333333333333
chr19p	78.31715210355988	92.98245614035088	8.360128617363344	77.43055555555556
chr19q	99.35275080906149	90.05847953216373	99.67845659163989	61.45833333333334
chr20p	6.472491909385114	7.0175438596491215	0.0	0.0
chr20q	92.88025889967638	90.05847953216373	18.006430868167204	59.375
chr21p	0	0	0	0
chr21q	0.0	0.0	23.151125401929264	7.638888888888888
chr22p	0	0	0	0
chr22q	99.35275080906149	100.0	99.67845659163989	89.93055555555556
