	p_value
ATF3	0.00134729228230415
BATF	0.578294894754958
BHLHE40	0.521340957549104
BRCA1	0.807969745739805
CD59	0.578435014136047
CEBPB	0.512845940369053
CEBPD	0.664939543107682
DDIT3	0.00402065249887592
E2F1	0.224895583496071
E2F7	0.370288699484468
ETV7	0.252145552613598
FOS	0.387373577865155
FOSL1	0.796641135060261
FOXA1	0.612630579961672
GRHL1	0.970230060650301
HES4	0.324171743063022
IKZF1	0.714386691300446
IRF1	0.212398918747955
IRF6	0.392862972787692
IRF8	0.206744987038379
JUN	0.193791808875437
MAFG	0.0105094724361328
MEF2C	0.829616484804262
MSX1	0.282719198139144
NFE2L2	0.855100942886981
PITX1	0.984993786928549
POLE4	0.956279818126657
REL	0.708478532991642
SNAI1	0.282091433282515
SOX4	0.381291930352512
SPI1	0.371276550183604
STAT1	0.895583885745061
STAT2	0.551951655591874
STAT3	0.194220801200677
TAGLN2	0.717545364228579
TP63	0.528116625422337
YY1	0.802771375657013
